idproduto;artigo;descricao;preco;stock;idcategoria
32;REC447;Tinteiro Reciclado EPSON SO20138 Preto;4.00;36;33
33;CPU178;Cooler Spire P/ Refrigerao Caixa DC 80x80x25mm 12v;3.00;39;14
34;REC442;Tinteiro Reciclado EPSON SO20110 T-053Cres;4.00;45;33
35;REC554;Tinteiro Reciclado CANON BCI-8 C Cyan;5.00;49;33
36;REC496;Tinteiro Reciclado EPSON T0422Cyan;4.00;44;33
37;REC553;Tinteiro Reciclado CANON BCI-8 CF Cleaning Fluid;5.00;47;33
38;REC512;Tinteiro Reciclado EPSON T0543Magenta;5.00;6;33
39;REC473;Tinteiro Reciclado EPSON T041Cres;4.00;50;33
40;MED014;CD-R Imation  80min 52X 700MB Pack 10 Slim Case;5.00;22;33
41;REC452;Tinteiro Reciclado EPSON T001Preto;4.00;10;33
42;REC498;Tinteiro Reciclado EPSON T0424Yellow;4.00;27;33
43;REC544;Tinteiro Reciclado CANON GC-10 BK caixa 3unidades P Unit.;2.00;5;33
44;REC492;Tinteiro Reciclado EPSON T0345 Light Cyan;5.00;7;33
45;REC533;Tinteiro Reciclado CANON GC-21BK Preto;2.00;3;33
46;REC505;Tinteiro Reciclado EPSON T0482Cyan;5.00;20;33
47;REC484;Tinteiro Reciclado EPSON T0333Magenta;4.00;23;33
48;REC485;Tinteiro Reciclado EPSON T0334Yellow;4.00;2;33
49;REC439;Tinteiro Reciclado EPSON SO20093T-050 Preto;2.00;4;33
50;REC467;Tinteiro Reciclado EPSON T027 Cres;5.00;50;33
51;REC506;Tinteiro Reciclado EPSON T0483Magenta;5.00;50;33
52;REC515;Tinteiro Reciclado EPSON T0548 Preto Mate;5.00;22;33
53;REC557;Tinteiro Reciclado CANON BCI-8 PBK Preto Photo;5.00;30;33
54;REC510;Tinteiro Reciclado EPSON T0541Preto Photo;5.00;29;33
55;REC556;Tinteiro Reciclado CANON BCI-8 Y Yellow;5.00;3;33
56;REC455;Tinteiro Reciclado EPSON T007 Preto;3.00;26;33
57;REC475;Tinteiro Reciclado EPSON T051Preto;3.00;45;33
58;REC451;Tinteiro Reciclado EPSON SO20193Cres;4.00;41;33
59;REC462;Tinteiro Reciclado EPSON T017 Preto;3.00;32;33
60;REC511;Tinteiro Reciclado EPSON T0542Cyan;5.00;47;33
61;REC488;Tinteiro Reciclado EPSON T0341Preto;5.00;15;33
62;REC481;Tinteiro Reciclado EPSON T0324Yellow;4.00;38;33
63;REC497;Tinteiro Reciclado EPSON T0423Magenta;4.00;39;33
64;REC507;Tinteiro Reciclado EPSON T0484Yellow;5.00;45;33
65;REC509;Tinteiro Reciclado EPSON T0486 Light Magenta;5.00;2;33
66;REC500;Tinteiro Reciclado EPSON T0441Preto;5.00;16;33
67;REC534;Tinteiro Reciclado CANON GC-21BK Cres;2.00;43;33
68;REC456;Tinteiro Reciclado EPSON T008 Cres;4.00;37;33
69;REC493;Tinteiro Reciclado EPSON T0346 Light Magenta;5.00;36;33
70;REC502;Tinteiro Reciclado EPSON T0443Magenta;5.00;50;33
71;REC472;Tinteiro Reciclado EPSON T040 Preto;3.00;30;33
72;REC543;Tinteiro Reciclado CANON GC-6/5 Y Yellow;2.00;47;33
73;MED049;DVD+RW Sony 120M / 4.7GB;1.00;3;33
74;REC514;Tinteiro Reciclado EPSON T0547 Light Magenta;5.00;10;33
75;REC516;Tinteiro Reciclado EPSON T0549 Light Cyan;5.00;50;33
76;REC437;Tinteiro Reciclado EPSON SO20062Preto;6.00;44;33
77;REC558;Tinteiro Reciclado CANON BCI-8 PC Cyan;5.00;45;33
78;TEC049;Etiquetas de Teclado em Russo - Cyrillic Keytop Labels;6.00;4;19
79;REC549;Tinteiro Reciclado CANON GC-642Preto;3.00;34;33
80;TEC079;VIKING Multimdia PS/2- KB-240PO;7.00;7;19
81;REC457;Tinteiro Reciclado EPSON T009 Cres;4.00;39;33
82;REC501;Tinteiro Reciclado EPSON T0442Cyan;5.00;36;33
83;MED020;CD-R TDK 80Min 48x Pack 10;6.00;47;33
84;REC508;Tinteiro Reciclado EPSON T0485 Light Cyan;5.00;19;33
85;TEC069;NGS 108 Teclas Silver / Black - NG KB9;7.00;21;19
86;COO036;Ventoinha Cooler Master NEON interno 80mm  - Azul;7.00;47;43
87;REC552;Tinteiro Reciclado CANON BCI-8 BK Preto;5.00;38;33
88;REC446;Tinteiro Reciclado EPSON SO20130 Cyan;7.00;36;33
89;COO037;Ventoinha Cooler Master NEON interno 80mm  - Prpura;7.00;12;43
90;REC499;Tinteiro Reciclado EPSON T0431Preto;5.00;30;33
91;MED016;CD-R Imation 80min 52X 700MB  Cores NEON Pack 10 Slim Case;6.00;23;33
92;MED040;DVD-R Imation 4.7Gb 4X Pack 3com Videobox;6.00;11;33
93;TEC081;VIKING Multimdia PS/2BLACK/SILVER- KB-MMS-PO-BS;7.00;8;19
94;TEC080;VIKING Multimdia PS/2BLACK- KB-240PO-BL;7.00;17;19
95;REC477;Tinteiro Reciclado EPSON T053Cres;5.00;14;33
96;REC445;Tinteiro Reciclado EPSON SO20126 Magenta;7.00;9;33
97;COO044;Cooler Cooler Master Blue ICE - SLC-S41-U1;7.00;40;43
98;MED012;CD-R PrimeDisk 80Min 4-12X jewel case;1.00;15;33
99;REC443;Tinteiro Reciclado EPSON SO20118 Preto;6.00;10;33
100;REC448;Tinteiro Reciclado EPSON SO20187 T-050 Preto;2.00;26;33
101;PRE079;Adaptador SMC P/ Ligar Cabo SMC2804W - SMCTNC/SMA;6.00;1;43
102;REC546;Tinteiro Reciclado CANON GC-11C caixa 3unidades P Unit.;3.00;28;33
103;REC490;Tinteiro Reciclado EPSON T0343Magenta;5.00;14;33
104;REC486;Tinteiro Reciclado EPSON T0335 Light Cyan;4.00;17;33
105;COO040;Ventoinha Cooler Master NEON interno 80mm  - Vermelho;7.00;34;43
106;COO038;Ventoinha Cooler Master NEON interno 80mm  - Branco;7.00;13;43
107;MED028;PRINCO DVD-R 4x 120 min Pack 10 Cake Box;9.00;34;33
108;DRV010;"Drive de 3.5""""-1.44Mb SONY Branca""""";8.00;48;12
109;TEC073;LOGITECH OEM Access Deluxe - 867115-0110;6.00;25;19
110;MED023;CD-R Verbatim 48x 700MB Pack 10;6.00;19;33
111;REC450;Tinteiro Reciclado EPSON SO20191T-052Cres;3.00;3;33
112;REC449;Tinteiro Reciclado EPSON SO20189 T-051Preto;2.00;2;33
113;TEC068;NGS CUTE BLACK PS/2;7.00;5;19
114;REC461;Tinteiro Reciclado EPSON T016 Cres;5.00;50;33
115;MED013;Mini CD-RW  PrimeDisk 8cm 24min.4-10X.210MB.Pack 5 Slimcase;7.00;33;33
116;PRE077;Placa Rede SMC EZ Connect PCI 10/100Mbps - SMC1255TX-PF;10.00;27;43
117;REC453;Tinteiro Reciclado EPSON T003Preto;3.00;8;33
118;REC482;Tinteiro Reciclado EPSON T0331Preto;4.00;14;33
119;REC489;Tinteiro Reciclado EPSON T0342Cyan;5.00;15;33
120;REC465;Tinteiro Reciclado EPSON T020 Cres;3.00;21;33
121;REC555;Tinteiro Reciclado CANON BCI-8 M Magenta;5.00;41;33
122;MED051;Mini CD-RW Verbatim 8cm 2x-4x 210 MB Pack 5 cores;10.00;4;33
123;REC464;Tinteiro Reciclado EPSON T019 Preto;2.00;7;33
124;MED019;CD-R Imation 80mm 202MB Cores Pack 5;5.00;49;33
125;MED059;DVD+RW Verbatim 4x 4.7GB Data Pack 5 JC;10.00;1;33
126;FSM089;Leitor gravador de cartes de memria 7 em 1CANYON USB 20;12.00;42;40
127;REC434;Tinteiro Reciclado EPSON SO20036 Cres;4.00;27;33
128;REC400;Tinteiro Reciclado HP 51625A N25 Cres;14.00;40;33
129;MED071;DVD+R Verbatim 4X DATA 4.7GB PACK 10UN;12.00;39;33
130;REC402;Tinteiro Reciclado HP 51640A N40 Preto;11.00;46;33
131;REC538;Tinteiro Reciclado CANON BCI-3eY Yellow;2.00;44;33
132;RAT126;Mouse OEM OPTICAL 2Button Scroll PS/2Black -PS00600;6.00;9;20
133;MED008;CD-R PrimeDisk 80Min Pack 50 unidades. 52X. 700MB;14.00;12;33
134;TNT076;T045340 - EPSON Magenta Stylus C64/C84/CX6400;10.00;21;33
135;TNT083;T033240 - EPSON Azul Stylus Photo 950;14.00;44;33
136;FSM141;Transcend SmartMedia  to PCMCIA Adapter;11.00;12;40
137;MED043;Pack 25 Caixas Imation Slim para CD e DVD Cores;3.00;8;33
138;REC454;Tinteiro Reciclado EPSON T005 Cres;4.00;34;33
139;REC480;Tinteiro Reciclado EPSON T0323Magenta;4.00;20;33
140;MED021;CD-R TDK 80Min 48x Pack 20 Slimcase;9.00;11;33
141;TNT106;T054840 - EPSON Photo R800 Preto Mate;15.00;5;33
142;TNT081;T033640 - EPSON Azul Claro Stylus Photo 950;14.00;31;33
143;AFD004;Bolsa p/ camera digital Deluxe TRUST 300LN - 14090;12.00;42;45
144;MED065;CD-R Verbatim 48x 700MB Pack10 Slimcase - Super Azo;5.00;8;33
145;COO041;Ventoinha Cooler Master 120mm interno p/ventilao UV Blue;9.00;7;43
146;COL054;Colunas AUDITEK 440W Sub-Woofer+2Sat. Ref.SS-4518;9.00;38;25
147;AFD003;Bolsa p/ camera digital Pro TRUST 200ML - 14089;7.00;6;45
148;TNT079;T044340 - EPSON Magenta Stylus Hi-Cap C64/C84/CX6400;13.00;19;33
149;REC469;Tinteiro Reciclado EPSON T029 Cres;4.00;6;33
150;WIR168;D-Link Cabo para Antena de 50 cm ECB-ANT240800;14.00;47;43
151;REC418;Tinteiro Reciclado HP C8728A N28 CMY;16.00;2;33
152;TNT078;T044440 - EPSON Amarelo Stylus Hi-Cap C64/C84/CX6400;13.00;22;33
153;MED037;DVD-R Imation 4.7Gb 4X Pack 5;10.00;45;33
154;FSM142;TwinMos Leitor/Gravador de cartes de memria 8 em 1USB 2.0;13.00;34;40
155;RAT120;Mouse ptico CANYON USB+PS2preto e cinza;8.00;30;20
156;WBC052;SWEEX Mini WEBCAM 100K USB;14.00;27;28
157;TNT600;Lexmark Preto N17 i3/Z13/Z23/Z25/Z33/Z35 - 10N0217;17.00;26;33
158;TNT103;T054340 - EPSON Photo R800 Magenta;15.00;34;33
159;COO043;Ventoinha Cooler Master 12025 int. 120mm Azul - TLF-S12-EW;10.00;24;43
160;REC425;Tinteiro Reciclado HP C4838 N11Yellow;18.00;10;33
161;TNT093;T048340 - EPSON Magenta Photo R300/RX500;14.00;48;33
162;REC409;Tinteiro Reciclado HP C6578D N78 Cres;16.00;2;33
163;TNT030;S020034- EPSON STYLUS COLOR/PRO/XL/XL+ - PRETO;17.00;23;33
164;MED079;DVD+R Verbatim 8X DATA 4.7MB PACK 5;7.00;12;33
165;TNT089;T048440 - EPSON Amarelo Photo R300/RX500;14.00;18;33
166;FSM140;Transcend Compact Flash to PCMCIA Adapter;8.00;8;40
167;TNT075;T045240 - EPSON Cyan Stylus C64/C84/CX6400;10.00;47;33
168;TNT096;T042240 - EPSON Cyan Stylus C82/ CX5200;15.00;30;33
169;PRE063;Placa Rede EDIMAX PCI 32Bit 10/100Base Adaptor UTP;7.00;7;43
170;TNT074;T045440 - EPSON Amarelo Stylus C64/C84/CX6400;10.00;23;33
171;TNT088;T048640 - EPSON Magenta Claro Photo R300/RX500;14.00;50;33
172;REC417;Tinteiro Reciclado HP C8727A N27 Preto;17.00;25;33
173;REC504;Tinteiro Reciclado EPSON T0481Preto;5.00;45;33
174;REC521;Tinteiro Reciclado LEXMARK 10N0016/17 Preto;17.00;29;33
175;TNT113;T036140LB - EPSON Preto Stylus C42/ C44;16.00;12;33
176;PST053;"Mala GIBAN NB-110 - 16"""" Note Book Case""""";17.00;33;45
177;REC551;Tinteiro Reciclado CANON BCI 24Cor;2.00;5;33
178;REC422;Tinteiro Reciclado HP C4843N10 Magenta;18.00;41;33
179;MED029;DVD+R PrimeDisk 4.7GB 8X Pack 25;18.00;43;33
180;MED041;DVD+RW Imation 4.7GB 4X Pack 5;14.00;12;33
181;REC476;Tinteiro Reciclado EPSON T052Cres;4.00;27;33
182;REC412;Tinteiro Reciclado HP C6625A N17 Cres;18.00;12;33
183;REC542;Tinteiro Reciclado CANON GC-6/5 M Magenta;2.00;39;33
184;WBC047;Video Blaster Webcam Creative VISTA Bulk;19.00;47;28
185;REC420;Tinteiro Reciclado HP C4841N10 Cyan;18.00;20;33
186;MED015;CD-R Imation  80min 52X 700MB Pack 25 Sleeve;12.00;11;33
187;COO042;Ventoinha Cooler Master 12025 int. 120mm Branco - TLF-S12-EW;10.00;9;43
188;PCL078;Transcend 4Port Hub USB 2.0;20.00;11;43
189;REC411;Tinteiro Reciclado HP C6615D N15 Preto;11.00;45;33
190;MED074;DVD+R Verbatim 4X DATA 4.7GB - CAKE 25UDS;18.00;11;33
191;MED058;Philips DVD+R 4.7GB 8X PACK 25;15.00;38;33
192;REC424;Tinteiro Reciclado HP C4837 N11Magenta;18.00;32;33
193;WIR149;D-Link Antena omnidireccional 5dBi interior DWL-50AT;14.00;7;43
194;TNT104;T054440 - EPSON Photo R800 Amarelo;15.00;24;33
195;TNT069;T008401- EPSON STYLUS PHOTO 870 / 875DC - COR;19.00;41;33
196;MED060;DVD-RW Verbatim 2x Data 4.7GB Pack 5 unid.;11.00;10;33
197;MED048;DVD-R Sony 4.7GB;1.00;12;33
198;REC564;Tinteiro Reciclado CANON BX-20 Preto;18.00;45;33
199;CDR156;CD ROM ASUS 52x IDE Bulk;18.00;18;8
200;TNT101;T054740 - EPSON Photo R800 Vermelho;15.00;4;33
201;AFU048;FLASH DRIVE TwinMos USB Mini HDD 128MB USB 2.0;15.00;22;29
202;REC522;Tinteiro Reciclado LEXMARK 10N0026/27 Cres;18.00;42;33
203;REC562;Tinteiro Reciclado CANON BC-20 Preto;18.00;7;33
204;REC518;Tinteiro Reciclado LEXMARK 12A1975 N75 Preto;19.00;49;33
205;PDA068;Protector de ecr Qtek 2020 / 9090;17.00;32;6
206;MED072;DVD-R Verbatim 4X DATA 4.7GB PACK 10UN;13.00;27;33
207;MED063;DVD-R PrimeDisk 4.7GB 8X PACK 25;18.00;33;33
208;REC024;Toner Reciclado BROTHER TN-100 HL 600 Sries/ HL 5000;20.00;19;33
209;FSM116;Multimedia card Transcend 64MB MMC;14.00;20;40
210;DRV009;"Drive de 3.5""""-1.44Mb SONY Preta""""";8.00;27;12
211;FSM148;Kingston Multimedia card 128MB Mobile Dual Voltage;15.00;12;40
212;TNT087;T034840 - EPSON Preto Mate Stylus Photo 2100;14.00;44;33
213;REC427;Tinteiro Reciclado HP C8767E N339 Preto (HC);17.00;13;33
214;REC526;Tinteiro Reciclado LEXMARK 15MO120 N20 Cres;21.00;15;33
215;REC520;Tinteiro Reciclado LEXMARK 12A1985 N85 Cres;20.00;26;33
216;PSO083;Auscultadores TRUST Portable Headset 150;13.00;14;44
217;MED066;CD-R Verbatim SLIM 48X 700MB PACK 20UN;10.00;20;33
218;REC494;Tinteiro Reciclado EPSON T0347 Light Black;5.00;37;33
219;REC483;Tinteiro Reciclado EPSON T0332Cyan;4.00;9;33
220;RAT122;Mouse Samsung Optical Wheel MINI BLUE USB/PS2- OMC3CH;12.00;3;20
221;MED076;DVD-R Verbatim 8x Data 4.7GB Pack 10;14.00;5;33
222;TNT436;C8728AE - HP DJ 3420C - No. 28 - Tricolor;19.00;39;33
223;PCL068;DataBridge Conceptronic USB - CONBRIDGE;20.00;43;43
224;FSM152;Kingston Multimedia card 128MB RS;13.00;34;40
225;CPU253;Cooler Spire P/AMD Athlon64Kestrelking III - SP703C3-1;13.00;40;14
226;TNT114;T037040LB - EPSON Cor Stylus C42/ C44;23.00;45;33
227;REC095;Toner Reciclado LEXMARK Optra E / E+ / ES (3.000 Cpias);19.00;46;33
228;PCL036;Conversor TITAN USB-LINK;21.00;15;43
229;TEC067;NGS CUTE WHITE PS/2;6.00;11;19
230;COO035;Ventoinha Cooler Master NEON interno 80mm  - Amarelo;7.00;36;43
231;PCL061;Placa Conceptronic com 5 Portas USB 2.0 - C480il;15.00;18;43
232;REC563;Tinteiro Reciclado CANON BX-2Preto;18.00;28;33
233;REC531;Tinteiro Reciclado LEXMARK 18L0032N82Preto;22.00;7;33
234;COO034;Ventoinha Cooler Master 80mm interno p/ventilao UV Blue;6.00;6;43
235;WBC056;Logitech QuickCam MESSENGER Refresh;23.00;21;28
236;CDR190;CD ROM Samsung 52x Black SC-152AEBB;17.00;13;8
237;SWT002;Switch 2IMP  ---> 1PC Manual;10.00;46;44
238;REC431;Tinteiro Reciclado HP C9368A N100 Cres Gree;16.00;23;33
239;UPS057;Tomada de Proteco 5 conectores;15.00;16;27
240;FSM052;Leitor Kingston USB 2.0 Hi-Speed 6-in-1CF/SD/SM/MS/MMC/MD;23.00;20;40
241;PRE082;Switch SMC EZ Networking 8x10/100 - SMC-EZ6508TX;21.00;38;43
242;PRE030;Placa Rede D-LINK PCI 550 TX 10/100;18.00;33;43
243;FSM145;Kingston MINI SD card 128MB  ;15.00;17;40
244;MED039;DVD+R Imation 4.7Gb 4X Pack 5;11.00;9;33
245;TNT111;T034240 - EPSON Azul Stylus Photo 2100;16.00;4;33
246;REC407;Tinteiro Reciclado HP C5011A N14Preto;17.00;47;33
247;FON021;Fonte Alim. Q-TEC 350W P3/P4/AMD - 13993;23.00;43;39
248;TNT110;T034340 - EPSON Magenta Stylus Photo 2100;16.00;29;33
249;COL082;Colunas Genius 320 W Slim 2.1- SP-Q2.1;22.00;18;25
250;COL112;Colunas Trust Soundwave 450P;14.00;16;25
251;AFU065;A-DATA My Flash 128MB USB 2.0 FLASH DRIVE;16.00;9;29
252;TEC065;IONE Multimdia PS/2Black/Silver + Rato Optico P17;12.00;40;19
253;REC415;Tinteiro Reciclado HP C6657A N57 CMY;17.00;3;33
254;MED055;CAKE BOX 25 DVD+R 4X;19.00;17;33
255;UPS056;Tomada de Proteco 7 conectores + FAX;23.00;16;27
256;PCL060;"Placa Conceptronic 3portas IEEE-1394""""fire wire""""- CON1394B""""";22.00;43;43
257;REC460;Tinteiro Reciclado EPSON T015 Preto;4.00;16;33
258;REC523;Tinteiro Reciclado LEXMARK 13400HC Preto;18.00;50;33
259;TNT094;T042340 - EPSON Magenta Stylus C82/ CX5200;15.00;11;33
260;AFU052;A-DATA My Flash JOGR 128MB USB 2.0 FLASH DRIVE - Rubber;20.00;3;29
261;TNT454;C5010DE - HP No. 14- Tricolor - 23ml;26.00;40;33
262;PCL077;Placa SWEEX 3Portas FIREWIRE PCI - FB000010;18.00;45;43
263;REC017;Toner Reciclado EPSON SO50010 EPL 5700L / 5700/ 5800;26.00;15;33
264;FSM092;Mini Multimedia card TWINMOS 128MB;15.00;42;40
265;TNT065;T018401- EPSON STYLUS COLOR 680 - COR;27.00;49;33
266;WBC054;TRUST SpaceCam Portable 150;20.00;30;28
267;REC495;Tinteiro Reciclado EPSON T0348 Mate;5.00;37;33
268;MEM058;128 Mb DIMM DDR PC 266 Kingston Garantia de 10 Anos;18.00;3;15
269;COO031;Copper Memory Heat Cooler Master Premium line;9.00;25;43
270;TNT092;T048140 - EPSON Preto Photo R300/RX500;14.00;39;33
271;UPS052;APC PROTECTNET 10BASE2;22.00;3;27
272;WIR066;Placa Rede SMC EZ Connect PCMCIA Wireless 11Mbps - SMC2635W;24.00;41;43
273;TNT443;C6628AE - HP DJ350C/350CBi  Preto. No. 19;26.00;19;33
274;FSM136;Transcend 7 em 1Card Reader/Writer USB 2.0;20.00;1;40
275;FSM071;Secure Digital Card / SD KINGSTON 256Mb Elite Pro High-Speed;25.00;26;40
276;TNT063;T001011- EPSON STYLUS PHOTO 1200 - COR;29.00;11;33
277;FSM157;Kingston Multi Media Card Plus 256Mb;23.00;36;40
278;TNT469;C6247A - Kit de limpeza HP DGJET Printers;9.00;8;33
279;TNT442;C6658AE - HP DJ5550 PhotoSm.71xx. 17ml. Photo Cr. No. 58;22.00;1;33
280;COO049;Water Block Cooler Master AquaTurtle p/ Disco - RL-D3A-CNU1;26.00;35;43
281;COO026;Ventoinha Cooler Master Dual Storm;23.00;37;43
282;TNT601;Lexmark Preto N48 Z700 - 17G0648E;17.00;49;33
283;PSO094;Placa Som Sound Blaster Live 24Bits BULK;30.00;49;18
284;RAT086;Mouse BENQ Optical Wheel MINI BLUE PS2USB - M101-C8D;16.00;37;20
285;COO020;Cooler Cooler Master Vortex Dream7 SK370/462;28.00;13;43
286;TNT095;T042440 - EPSON Amarelo Stylus C82/ CX5200;15.00;20;33
287;TNT099;T032240 - EPSON Azul Stylus C70 / C80;15.00;10;33
288;TNT040;S020187 - STYLUS COLOR 440/640/PHOTO 750 - PRETO;24.00;15;33
289;TNT605;Lexmark Preto 4072 - 1380479;27.00;3;33
290;PSO085;Auscultadores c/ mic. TRUST Silverline 625 Headset;20.00;21;44
291;AFU044;FLASH DRIVE KINGSTON Mini HDD 256MB USB 2.0 - KUSBDTI/256;24.00;42;29
292;MED078;DVD-RW Verbatim 4X DATA 4.7GB PACK 5 UNID.;13.00;14;33
293;PRE099;Placa Rede LINKSYS LNE100TX 10/100 PCI (RJ 45) WAKE ON LAN;15.00;21;43
294;FSM135;Transcend Multi-Card Reader/Writer Interno Painel Preto;18.00;20;40
295;TEC078;TRUST Easy Scroll Silverline MultiM. PS/2- 13456;16.00;18;19
296;TNT077;T044240 - EPSON Cyan Stylus Hi-Cap C64/C84/CX6400;13.00;35;33
297;TNT611;Lexmark Cor N60 Z12/Z22/Z32- 17G0060;31.00;4;33
298;REC011;Toner Reciclado HP C4092A Laserjet 1100 / 3200/M;25.00;37;33
299;REC565;Tinteiro Reciclado CANON BX-3Preto;18.00;44;33
300;WIR128;D-Link Wireless LAN Adapter PCI 22Mbps DWL-520+;32.00;50;43
301;TNT097;T032340 - EPSON Magenta Stylus C70 / C80;15.00;20;33
302;PST048;"Mala TRUST 500L - 15"""" NoteBook Carry Bag Deluxe""""";25.00;33;45
303;TNT612;Lexmark Cor N83Z55/Z65/Z65n - 18L0042;32.00;37;33
304;TNT466;C4836AE - HP Inkjet 2200/2250 Tinteiro Cyan;30.00;23;33
305;REC435;Tinteiro Reciclado EPSON SO20047 Preto;3.00;29;33
306;TNT037;S020089 - STYLUS COLOR 400/600/800/850/1520 - COR;27.00;2;33
307;WIR146;D-Link Adaptador Bluetooth USB DBT-120;22.00;36;43
308;TNT616;Lexmark Cor Jetprinter 1000  2055 - 13619HC;33.00;32;33
309;TNT401;51626AE - HP DJ  400500.510.520.540. etc Preto;28.00;36;33
310;TNT080;T033640 - EPSON Magenta Claro Stylus Photo 950;14.00;35;33
311;REC438;Tinteiro Reciclado EPSON SO20089 T-052Cres;3.00;19;33
312;TNT435;C8727AE - HP DJ 3420C - No. 27 - Preto;17.00;47;33
313;WIR169;D-Link Cabo para Antena de 3m ECB-ANT240500;22.00;13;43
314;COO025;Cooler Cooler Master Ultra Vortex SK478/754/940;30.00;36;43
315;UPS058;Tomada de Proteco 6 conectores;16.00;4;27
316;PCL065;Adaptador Externo SWEEX Infravermelhos USB REF. KB200010;25.00;47;43
317;TNT100;T054940 - EPSON Photo R800 Azul Escuro;15.00;22;33
318;AST001;Assemblagem e Testes;30.00;48;35
319;COL120;EarPhones CREATIVE EP-480 Dark Blue - 51MZ0170AA010;27.00;24;25
320;WBC053;SWEEX WEBCAM USB2.0 1.3MPix;35.00;5;28
321;MEM053;256 MB DIMM DDR PC333;29.00;43;15
322;PRE112;P. Rede PCI 10/100/1000Mbps (con. UTP/STP)-32Bits DGE-528T;18.00;23;43
323;RAT118;Microsoft Optical Mouse by Starck Mac/Win USB Blue;30.00;19;20
324;FSM056;CompactFlash card KINGSTON 128MB;15.00;36;40
325;TNT474;C4912A - HP Designjet 500 / 800 Magenta N82;34.00;39;33
326;PRE070;Placa PCMCIA Cardbus EDIMAX 32Bit 10/100Mbps Dongle-less;25.00;27;43
327;HDD173;"Caixa Q-TEC Externa USB 2.0 P/HDD 2.5"""" PORTATIL - 13214""""";23.00;39;16
328;TNT624;C4921A - Cabea de Impresso HP Cyan N14CP 1160;31.00;11;33
329;DVD047;DVD - ROM Samsung 16X/CD48X IDE BULK - Black;24.00;5;8
330;FSM034;Secure Digital Card / SD TWINMOS 256Mb Ultra X;24.00;26;40
331;REC005;Toner Reciclado HP 92298A Laserjet 4/4M/4+/4M+/5/5M/5N;31.00;22;33
332;PDA044;Acessrio PDA PALM TUNGSTEN T SLIM LEATHER CASE - P10895U;16.00;30;6
333;REC517;Tinteiro Reciclado LEXMARK 12A1970 N70 Preto;19.00;14;33
334;REC426;Tinteiro Reciclado HP C8765E N338 Preto;14.00;43;33
335;TNT057;S020025 - EPSON STYLUS 400/ 800/ 800+ /1000;12.00;18;33
336;CAL013;Calculadora Cintifica HP 9S;18.00;12;44
337;REC528;Tinteiro Reciclado LEXMARK 15MO640 N20 Cres;18.00;11;33
338;REC561;Tinteiro Reciclado CANON BC-02Preto;18.00;16;33
339;UPS055;APC PROTECTNET DIGITAL TELEPHONE;23.00;12;27
340;DVD102;ASUS DVD-ROM 16x/48x IDE Preto;26.00;14;8
341;WIR101;Wireless MSI Interno 54MBIT PCI p/ Posto - PC54G2;27.00;18;43
342;MEM064;256 MB DIMM DDR PC333Kingston Garantia de 10 Anos;32.00;35;15
343;TNT614;Lexmark Cor N20 Z42/Z51/Z52/Z82- 15M0120;34.00;35;33
